Id	StctNo	TakenDate	InitType	HSISType	ChildType	ParentType	StctAdjoin	Location	StairIndp	Council1	Council2	ExitCnt	FacilityProvision	Status	InRegion	InvgORPorUAP	InvgStatusORPorUAP	InvgRemarksORPorUAP	InvgAgreeNo	DCInAgreeNo	ConnectAdjoin	BSNote1	BSNote2	BSNote3	BSInChecked	FollowupRegion	WidthNotAcpt	ToNonBFAPath	WideEnough	Gradlt10	WithSteps	StepsForBFA	AlterMeans	AlterDetail	AlterDist	Remarks	AtMainForBFA	ExitAToBuild	AtExitForA	ReasonAwNoBFA	DescAwBFA	AlterMeansAwBFA	AlterDetailAwBFA	AlterDistA	RemarksA	ExitAwBFA	ExitBToBuild	AtExitForB	ReasonBwNoBFA	DescBwBFA	AlterMeansBwBFA	AlterDetailBwBFA	AlterDistB	RemarksB	ExitBwBFA	ExitCToBuild	AtExitForC	ReasonCwNoBFA	DescCwBFA	AlterMeansCwBFA	AlterDetailCwBFA	AlterDistC	RemarksC	ExitCwBFA	ExitDToBuild	AtExitForD	ReasonDwNoBFA	DescDwBFA	AlterMeansDwBFA	AlterDetailDwBFA	AlterDistD	RemarksD	ExitDwBFA	ExitEToBuild	AtExitForE	ReasonEwNoBFA	DescEwBFA	AlterMeansEwBFA	AlterDetailEwBFA	AlterDistE	RemarksE	ExitEwBFA	ExitFToBuild	AtExitForF	ReasonFwNoBFA	DescFwBFA	AlterMeansFwBFA	AlterDetailFwBFA	AlterDistF	RemarksF	ExitFwBFA	ExitGToBuild	AtExitForG	ReasonGwNoBFA	DescGwBFA	AlterMeansGwBFA	AlterDetailGwBFA	AlterDistG	RemarksG	ExitGwBFA	ExitHToBuild	AtExitForH	ReasonHwNoBFA	DescHwBFA	AlterMeansHwBFA	AlterDetailHwBFA	AlterDistH	RemarksH	ExitHwBFA	ExitJToBuild	AtExitForJ	ReasonJwNoBFA	DescJwBFA	AlterMeansJwBFA	AlterDetailJwBFA	AlterDistJ	RemarksJ	ExitJwBFA	ExitKToBuild	AtExitForK	ReasonKwNoBFA	DescKwBFA	AlterMeansKwBFA	AlterDetailKwBFA	AlterDistK	RemarksK	ExitKwBFA	DraftedBy	DraftedByPost	DraftedAt	EndorsedBy	EndorsedByPost	EndorsedAt	AuditedBy	AuditedByPost	AuditedAt
1384	NF358	2002-04-23 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	at Luen On San Tsuen, Tuen Mun	No	Tuen Mun	NULL	2	No	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yes	Yes	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	walkway clear width = 1.5m	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Wing Cheong HO	MIOW/STR(NW2)	2017-04-28 00:00:00.000	Yau Keung CHEUNG	NULL	2017-05-05 00:00:00.000	NULL	NULL	NULL
1385	NF359	2002-12-13 00:00:00.000	Parent	Footbridge	NF359A	NULL	NULL	footbridge at North Portal, near Tai Lam Tunnel, Pat Heung, Yuen Long.	No	Yuen Long	NULL	4	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-10-05 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-31 00:00:00.000	NULL	NULL	NULL
1386	NF359A	2002-12-13 00:00:00.000	Child	Footbridge	NULL	NF359	NULL	NULL	NULL	NULL	NULL	0	NULL	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-10-05 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-31 00:00:00.000	NULL	NULL	NULL
1387	NF36	1969-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	at Sha Ha Road near Tong Yan San Tsuen Interchange	No	Yuen Long	NULL	2	No	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	TD's comment on inadequate width should be sought.	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	1.5m width	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Man Ip CHAN	NULL	2016-11-30 00:00:00.000	Yau Keung CHEUNG	NULL	2016-12-14 00:00:00.000	NULL	NULL	NULL
1388	NF360	2004-04-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	footbridge across Tin Tsz Road near Kenswood Court	No	Yuen Long	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Man Ip CHAN	NULL	2016-10-31 00:00:00.000	Yau Keung CHEUNG	NULL	2016-11-09 00:00:00.000	NULL	NULL	NULL
1389	NF361	2008-11-05 00:00:00.000	Parent	Footbridge	NULL	NULL	NS54,NS55,NS56A	at Tsuen Kam Interchange over Cheung Pei Shan Road, Tsuen Wan	No	Tsuen Wan	NULL	3	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kin Wang LAI	MWSI/W1	2016-11-18 00:00:00.000	Chi Kwong LIU	NULL	2016-11-25 00:00:00.000	NULL	NULL	NULL
1390	NF362	2003-04-08 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Footbridge across Western Drainage Channel near Tin Heng Estate, Tin Shui Wai	No	Yuen Long	NULL	3	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Man Ip CHAN	NULL	2017-05-22 00:00:00.000	Yau Keung CHEUNG	NULL	2017-05-23 00:00:00.000	NULL	NULL	NULL
1391	NF363	2004-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	across Kwai Hing Road together with connected footpath at Kwai Hing Estate.	No	Kwai Tsing	NULL	2	No	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	No	Solely connect to staircase	NULL	No	NULL	NULL	NULL	No	No	Yes, but exit solely connects to at-grade non-BFA footpath or staircase	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	Solely connect to staircase	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yiu Nin LI	MWSII/STR(SW)2	2019-01-15 00:00:00.000	Yuk Pang CHOI	NULL	2019-01-15 00:00:00.000	NULL	NULL	NULL
1392	NF364	2002-12-19 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	footbridge over nullah adjacent to Kam Po Road 	No	Yuen Long	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-10-11 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-27 00:00:00.000	NULL	NULL	NULL
1393	NF365	2002-12-19 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	footbridge over nullah adjacent to Kam Po Road 	No	Yuen Long	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-10-11 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-27 00:00:00.000	NULL	NULL	NULL
1394	NF366	2002-12-19 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	footbridge over nullah adjacent to Kam Po Road 	No	Yuen Long	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-10-11 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-27 00:00:00.000	NULL	NULL	NULL
1395	NF367	2002-12-27 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	at Kam Po Road across Nullah to West Rail, Kam Sheung Road Station 	No	Yuen Long	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-09-29 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-11 00:00:00.000	NULL	NULL	NULL
1396	NF368	2003-05-19 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	across Ng Tung River near Tak Yuet Lau and Lo Wu KCR Station	No	North	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Yau Ping CHOW	MWSII/STR(NE)1	2016-10-27 00:00:00.000	Siu Kit TANG	NULL	2016-12-22 00:00:00.000	NULL	NULL	NULL
1397	NF369	2003-03-27 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Footbridge over Nullah adjacent to Kam Ho Road near West PTI of West Rail Kam Sheung Road Station 	No	Yuen Long	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-09-29 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-11 00:00:00.000	NULL	NULL	NULL
1398	NF37	1969-01-01 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	at Sha Ha Road near Sha Ha Tsuen	No	Yuen Long	NULL	2	No	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	TD's comment on inadequate width should be sought.	NULL	NULL	Yes	NULL	Yes	No	No	Yes / N.A.	No	NULL	No	NULL	NULL	1.6 m width	No	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Man Ip CHAN	NULL	2016-11-30 00:00:00.000	Yau Keung CHEUNG	NULL	2016-12-14 00:00:00.000	NULL	NULL	NULL
1399	NF371	2003-08-21 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Footbridge over Nullah adjacent to Kam Ho Road near West PTI of West Rail Kam Sheung Road Station 	No	Yuen Long	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Kai Chun CHU	MWSII/STR(NW1)	2016-10-11 00:00:00.000	Yau Keung CHEUNG	NULL	2016-10-27 00:00:00.000	NULL	NULL	NULL
1400	NF372	2003-08-18 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	Staircase behind Chun Kwai House, Kwai Chung Estate, Kwai Chung	Yes	Kwai Tsing	NULL	2	No	Endorsed	NT	Yes	Retrofitting works not feasible	See THB's letter (CB(1)2448/10-11(01)) to LegCo on 10/6/2011	CE55/2017(HY)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	Yes	None	No	NULL	NULL	NULL	No	No	Yes, but exit solely connects to at-grade non-BFA footpath or staircase	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	Connect solely to at-grade non BFA footpath	No	Yes	Yes, but exit solely connects to at-grade non-BFA footpath or staircase	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Shu Kuen CHEUNG	NULL	2018-10-08 00:00:00.000	Yuk Pang CHOI	NULL	2019-01-09 00:00:00.000	NULL	NULL	NULL
1401	NF373	2004-09-09 00:00:00.000	Parent	Footbridge	NULL	NULL	N852C	at Fo Tan Road over Fo Tan Nullah near Tsung Tau Ha Road	No	Sha Tin	NULL	2	Yes	Endorsed	NT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Lap Biu TSO	MAIOW/SSP2	2016-07-04 00:00:00.000	Shuk Man WONG	NULL	2016-07-05 00:00:00.000	NULL	NULL	NULL
1402	NF374	2003-10-09 00:00:00.000	Parent	Footbridge	NULL	NULL	NULL	across Tin Fuk Road connected to Tin Shui Wai WR Station	No	Yuen Long	NULL	3	Yes	Endorsed	NT	Yes	Retrofitting works being planned / constructed	NULL	CE 14/2017 (HY)	CE 14/2017 (HY)	NULL	NULL	NULL	NULL	NULL	NULL	No	No	Yes	Yes / N.A.	No	NULL	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Standard ramp (width >=2m & gradient <=10%)	NULL	NULL	NULL	NULL	Yes	No	Yes	NULL	Lift	NULL	NULL	NULL	NULL	Yes	Yes	Yes	NULL	Exit footway adjoining main walkway without level difference	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Hing Lung CHAU	MWSII/STR(NW2)A	2017-02-25 00:00:00.000	Yau Keung CHEUNG	NULL	2017-03-09 00:00:00.000	NULL	NULL	NULL
